CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
190.0,final_sickled,413,414.0,103.25,103.5,0.25,completed,0.014263780491698222,0.018419949564849956,0.016186527907848358,0.01895501969071726,0.004305624364254375,0.004933675130208333,6,0.03,0,0.6222487688064575
191.0,semi_sickled,28,29.0,7.0,7.25,0.25,completed,0.0032325618910059952,0.005888357758522034,,,0.0033014681830536574,0.0031636555989583335,6,0.03,0,0.9498012661933899
192.0,semi_sickled,340,345.0,85.0,86.25,1.25,completed,0.01731665679748403,0.03015686326834839,0.027129204571247102,0.01533121122047305,0.004437549936119467,0.0043548583984375,6,0.03,0,0.7322835922241211
194.0,semi_sickled,97,98.0,24.25,24.5,0.25,completed,0.007584612725622719,0.01932624825567473,0.01363349457581838,0.004482235332640509,0.0016918430434695135,0.0028076171875,6,0.03,0,0.6143149733543396
195.0,semi_sickled,186,197.0,46.5,49.25,2.75,completed,0.018921010158737775,0.04832411321403925,0.03481407230719924,0.010894298429775517,0.005495543824508786,0.003963470458984375,6,0.03,0,0.5478194952011108
197.0,final_sickled,261,274.0,65.25,68.5,3.25,completed,0.02140911230041335,0.05626100691733882,0.04178073464168443,0.01057019573636353,0.004109048750251532,0.003868950737847222,6,0.03,0,0.875127911567688
198.0,final_sickled,187,188.0,46.75,47.0,0.25,completed,0.016181841803578817,0.022959998477017508,0.023835205162564915,0.015537443473779907,0.005058909358922392,0.004618326822916667,6,0.03,0,0.8546860814094543
199.0,semi_sickled,275,283.0,68.75,70.75,2.0,completed,0.03232178498605768,0.09594949951861054,0.03613068965765146,0.04669609837807142,0.007357050109511385,0.004849947415865385,6,0.03,0,0.820469081401825
200.0,final_sickled,262,263.0,65.5,65.75,0.25,completed,0.011385998532932718,0.01826425320468843,0.015734894822041195,0.01144796454658111,0.00487749936291948,0.0038045247395833335,6,0.03,0,0.893990159034729
202.0,final_sickled,233,234.0,58.25,58.5,0.25,completed,0.010317231421746934,0.021855776011943818,0.014170649151007334,0.010209399547117451,0.00500438114007314,0.00360107421875,6,0.03,0,0.6049520969390869
203.0,final_sickled,131,141.0,32.75,35.25,2.5,completed,0.025706583918266312,0.13930069291964173,0.04650132209062576,0.01685345652513206,0.005817616552424927,0.003841145833333333,6,0.03,0,0.5959720015525818
207.0,semi_sickled,330,341.0,82.5,85.25,2.75,completed,0.01715723024499312,0.05810827115783468,0.034694937989115715,0.0065676050071488135,0.0039499404665548354,0.003894805908203125,6,0.03,0,0.8420624732971191
208.0,final_sickled,417,418.0,104.25,104.5,0.25,completed,0.016888711066712858,0.025799616711447017,0.02921561524271965,0.012103409661600987,0.00402228696232972,0.0037078857421875,6,0.03,0,0.8701542019844055
209.0,final_sickled,267,279.0,66.75,69.75,3.0,completed,0.022674733587208562,0.06341095987008885,0.042064045720240646,0.013882164809140651,0.0037904218188486993,0.004132439108455882,6,0.03,0,0.5411437153816223
210.0,semi_sickled,231,239.0,57.75,59.75,2.0,completed,0.01997167547793092,0.0505580457742326,0.03306851249474745,0.01585474150040402,0.005283731689605002,0.004277155949519231,6,0.03,0,0.5246220231056213
212.0,semi_sickled,267,268.0,66.75,67.0,0.25,completed,0.012846229411661627,0.02023697589756921,0.018611254480977852,0.011138045539458593,0.00702241063117981,0.0050048828125,6,0.03,0,0.7341268658638
215.0,final_sickled,161,169.0,40.25,42.25,2.0,completed,0.02038232500505766,0.04899545535445213,0.013352095937499633,0.04671069209209897,0.004473026035926663,0.003558819110576923,6,0.03,0,0.907974123954773
